ì˙ït,ä¥êıé“êî1ì˙,ÉâÉOïœêî,ä¥êıé“êîó›åv,éÄé“êî1ì˙,éÄé“êîó›åv,ïΩãœãCâ∑,S,I,R,D,V,T,pop,rrI,rdI,SI,ì¸â@íÜ,åyè«ÅEíÜìôè«,èdè«,èhîëó√ó{,é©ëÓó√ó{,í≤êÆíÜ,PCRåüç∏ózê´é“êî,çRå¥åüç∏ózê´é“êî,PCRåüç∏âAê´é“êî,çRå¥åüç∏âAê´é“êî,åüç∏êlêî(7ì˙ä‘à⁄ìÆïΩãœ),ózê´ó¶,ã~ã}à„ó√_ìåãûÉãÅ[ÉãìKópåèêî,ã~ã}à„ó√_ìåãûÉãÅ[ÉãìKópåèêî_7ì˙ä‘à⁄ìÆïΩãœíl,ç~êÖó ÇÃçáåv(mm),ì˙è∆éûä‘(éûä‘),ïΩãœïóë¨(m/s),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa),ïΩãœâ_ó (10ï™î‰),êlìÆëùå∏ó¶ëOì˙î‰ïΩãœ,åé,âŒ,êÖ,ñÿ,ã‡,ìy,ì˙,ójì˙,ïΩì˙ãxì˙,urgent
2020/1/26,0,1,2,0,0,5,13951634,2,0,0,0,0,13951636,0,0,27903268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.3,78,1023.7,10,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/1/27,0,0,2,0,0,5.1,13951634,2,0,0,0,0,13951636,0,0,27903268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,72,1022.7,10,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/1/28,0,0,2,0,0,4.4,13951634,2,0,0,0,0,13951636,0,0,27903268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,3.6,98,1014.5,10,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/1/29,0,0,2,0,0,11.8,13951634,2,0,0,0,0,13951636,0,0,27903268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5.8,2.5,83,998.9,7.8,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/1/30,1,0,3,0,0,11.7,13951634,2,0,0,0,1,13951636,0,0,27903268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,2.1,61,995.7,1.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/1/31,0,1,3,0,0,8.1,13951633,3,0,0,0,0,13951636,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,4.8,44,1001.6,3,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/2/1,0,0,3,0,0,7.9,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3.6,40,1011.6,0,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/2/2,0,0,3,0,0,8.7,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,2.9,40,1018.3,5,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/2/3,0,0,3,0,0,9.3,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2.4,52,1014.3,9.5,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/2/4,0,0,3,0,0,7.9,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2.4,54,1016.4,6.3,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/2/5,0,0,3,0,0,7.6,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,3,49,1009.5,2.3,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/2/6,0,0,3,0,0,2.9,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,4.9,34,1019.7,2.5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/2/7,0,0,3,0,0,2.4,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,2,48,1022.8,7.3,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/2/8,0,0,3,0,0,6.2,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,2.4,45,1010.6,5,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/2/9,0,0,3,0,0,3.9,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,4,37,1013.1,0,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/2/10,0,0,3,0,0,4.6,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,2.2,46,1011.8,2.8,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/2/11,0,0,3,0,0,6.3,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,2.6,46,1022.7,0.3,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/2/12,0,0,3,0,0,8.7,13951633,3,0,0,0,0,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,2,51,1022.1,7.5,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/2/13,1,0,4,0,0,11.7,13951633,3,0,0,0,1,13953577,0,0,41854899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,1.7,61,1011.8,5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/2/14,2,1,6,0,0,12,13951632,4,0,0,0,2,13953577,0,0,55806528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1.7,75,1015.4,7.5,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/2/15,8,2,14,0,0,12.4,13951630,6,0,0,0,8,13953577,0,0,83709780,0,0,0,0,0,0,8,0,122,0,0,0,0,0,0,2.4,1.7,66,1017,7.3,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/2/16,5,8,19,0,0,9.3,13951622,14,0,0,0,5,13953577,0,0,195322708,0,0,0,0,0,0,5,0,69,0,0,0,0,0,8.5,0,1.8,91,1006,10,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/2/17,0,5,19,0,0,10.3,13951617,19,0,0,0,0,13953577,0,0,265080723,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3.5,2.3,86,997.7,7.3,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/2/18,3,0,22,0,0,7.6,13951617,19,0,0,0,3,13953577,0,0,265080723,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,9.2,2.7,44,1008.2,2.8,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/2/19,3,3,25,0,0,8.1,13951614,22,0,0,0,3,13953577,0,0,306935508,0,0,0,0,0,0,3,0,77,0,0,0,0,0,0,9.5,2.7,44,1021.7,4,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/2/20,0,3,25,0,0,9,13951611,25,0,0,0,0,13953577,0,0,348790275,0,0,0,0,0,0,2,0,58,0,0,0,0,0,0,4.6,2.2,58,1025.7,7.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/2/21,3,0,28,0,0,10,13951611,25,0,0,0,3,13953577,0,0,348790275,0,0,0,0,0,0,2,0,33,0,58.6,0.056,0,0,0,9.1,2.8,64,1030.5,2.8,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/2/22,1,3,29,0,0,12.5,13951608,28,0,0,0,1,13953577,0,0,390645024,0,0,0,0,0,0,1,0,33,0,44.9,0.051,0,0,2.5,4.1,4.1,77,1016.7,6.8,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/2/23,0,1,29,0,0,10.4,13951607,29,0,0,0,0,13953577,0,0,404596603,0,0,0,0,0,0,1,0,6,0,35.3,0.049,0,0,0,9.7,3.3,35,1012.9,1.8,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/2/24,3,0,32,0,0,9.8,13951607,29,0,0,0,3,13953577,0,0,404596603,0,0,0,0,0,0,1,0,13,0,36.3,0.039,0,0,0,9.5,2.5,50,1018.3,3.3,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/2/25,0,3,32,0,0,10.5,13951604,32,0,0,0,0,13953577,0,1,446451328,0,0,0,0,0,0,0,0,44,0,39.1,0.036,0,0,0,3.6,2.1,60,1016.2,10,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/2/26,3,0,35,1,1,8.1,13951604,31,0,1,0,3,13953577,0,0,432499724,0,0,0,0,0,0,3,0,48,0,35,0.041,0,0,3,0,2.2,88,1011.6,10,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/2/27,1,3,36,0,1,7,13951601,34,0,1,0,1,13953577,15,0,474354434,0,0,0,0,0,0,1,0,67,0,36.1,0.036,0,0,0,10.6,4.2,49,1014.9,0.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/2/28,0,1,36,0,1,7,13951600,20,15,1,0,0,13953577,0,0,279032000,21,16,5,0,0,0,0,0,64,0,40.3,0.025,0,0,0,9,2.7,48,1019.7,6,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/2/29,1,0,37,0,1,9.4,13951600,20,15,1,0,1,13953577,0,0,279032000,21,16,5,0,0,0,1,0,55,0,43.4,0.023,0,0,1,6,2.2,64,1015,8,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/3/1,2,1,39,0,1,12,13951599,21,15,1,0,2,13951791,0,0,292983579,23,18,5,0,0,0,2,0,12,0,44.4,0.026,47,0,0.5,9.5,2.4,65,1012.7,7.3,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/3/2,0,2,39,0,1,7.3,13951597,23,15,1,0,0,13951791,2,0,320886731,23,18,5,0,0,0,0,0,32,0,47,0.021,20,0,10,0,2.5,94,1013.5,10,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/3/3,1,0,40,0,1,11.3,13951597,21,17,1,0,1,13951791,0,0,292983537,22,17,5,0,0,0,1,0,73,0,51.3,0.022,25,0,0,10.1,3.2,59,1017.3,6.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/3/4,4,1,44,0,1,8.9,13951596,22,17,1,0,4,13951791,2,0,306935112,26,20,6,0,0,0,4,0,78,0,55.7,0.023,25,0,1.5,0,2.1,85,1015.4,10,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/3/5,8,4,52,0,1,9.2,13951592,24,19,1,0,8,13951791,1,0,334838208,32,25,7,0,0,0,8,0,71,0,57.3,0.04,23,0,1,5.9,5.1,53,1003.7,4.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/3/6,6,8,58,0,1,9.4,13951584,31,20,1,0,6,13951791,0,0,432499104,37,29,8,0,0,0,6,0,65,0,58.3,0.054,28,0,0,10.7,4,33,1014.4,0.3,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/3/7,6,6,64,0,1,7.3,13951578,37,20,1,0,6,13951791,0,0,516208386,43,35,8,0,0,0,6,0,88,0,63.7,0.061,34,28.9,1.5,0,2.4,68,1020.2,10,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/3/8,0,6,64,0,1,7.2,13951572,43,20,1,0,0,13951791,2,1,599917596,43,35,8,0,0,0,0,0,0,0,61.7,0.058,25,25.7,6,0,2.5,94,1015.5,10,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/3/9,0,0,64,1,2,13.1,13951572,40,22,2,0,0,13951791,0,0,558062880,40,33,7,0,0,0,0,0,23,0,60.4,0.059,38,28.3,0,3.9,2.7,79,1013.7,7.5,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/3/10,3,0,67,0,2,14.7,13951572,40,22,2,0,3,13951791,0,0,558062880,43,35,8,0,0,0,3,0,62,0,59.1,0.065,19,27.4,24.5,0,2.5,97,1000.1,7.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/3/11,6,3,73,0,2,15.3,13951569,43,22,2,0,6,13951791,0,0,599917467,49,42,7,0,0,0,5,0,114,0,64.4,0.062,19,26.6,0,7.9,3.3,58,997.3,6.3,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/3/12,2,6,75,0,2,11.4,13951563,49,22,2,0,2,13951791,0,0,683626587,51,44,7,0,0,0,2,0,82,0,65.1,0.048,23,26.6,0,10,4.1,48,1016.7,1,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/3/13,2,2,77,0,2,12.5,13951561,51,22,2,0,2,13951791,0,0,711529611,53,45,8,0,0,0,2,0,56,0,63.3,0.041,25,26.1,0,7,2.4,62,1012.5,7.5,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/3/14,10,2,87,0,2,5.5,13951559,53,22,2,0,10,13951791,0,0,739432627,63,55,8,0,0,0,7,0,64,0,60,0.045,22,24.4,25,0,3.2,88,1006.1,9.3,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/3/15,3,10,90,0,2,7.1,13951549,63,22,2,0,3,13951791,0,0,878947587,66,58,8,0,0,0,0,0,0,0,60,0.045,32,25.4,0,8.4,2.6,67,1002.6,4,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/3/16,0,3,90,0,2,7.1,13951546,66,22,2,0,0,13951791,8,0,920802036,66,58,8,0,0,0,0,0,19,0,59.4,0.046,42,26,0,9.2,4.7,55,1003.9,2,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/3/17,12,0,102,0,2,7.7,13951546,58,30,2,0,12,13951791,0,0,809189668,70,62,8,0,0,0,11,0,60,0,60.3,0.064,15,25.4,0,8.4,3.3,47,1012.1,2.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/3/18,9,12,111,0,2,11.9,13951534,70,30,2,0,9,13951791,1,0,976607380,79,71,8,0,0,0,4,0,101,0,58.3,0.064,28,26.7,0,10.7,2.7,52,1010,0.3,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/3/19,7,9,118,0,2,14.6,13951525,78,31,2,0,7,13951791,0,1,1088218950,85,76,9,0,0,0,5,0,44,0,53.3,0.078,24,26.9,1,11,3.7,65,1006.7,2.5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/3/20,11,7,129,1,3,14.5,13951518,84,31,3,0,11,13951791,0,1,1171927512,95,86,9,0,0,0,6,0,9,0,47.1,0.1,38,28.7,0,8.9,3.5,48,999.7,3,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/3/21,7,11,136,1,4,13.8,13951507,94,31,4,0,7,13951791,0,0,1311441658,101,92,9,0,0,0,0,0,44,0,43.3,0.086,29,29.7,0,11,2.9,44,1007.9,0.5,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/3/22,3,7,139,0,4,16.8,13951500,101,31,4,0,3,13951791,0,0,1409101500,103,94,9,0,0,0,0,0,1,0,43.4,0.086,37,30.4,0,9.8,3.5,49,1003.9,6.8,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/3/23,16,3,155,0,4,10.3,13951497,104,31,4,0,16,13951791,0,1,1450955688,119,108,11,0,0,0,12,0,44,0,48.7,0.111,24,27.9,0,2.4,2.7,59,1007.3,8.5,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/3/24,18,16,173,1,5,8.2,13951481,119,31,5,0,18,13951791,0,0,1660226239,135,124,11,0,0,0,14,0,60,0,49.1,0.119,26,29.4,0,11.3,4.7,44,1011.6,2.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/3/25,41,18,214,0,5,10,13951463,137,31,5,0,41,13951791,0,0,1911350431,176,164,12,0,0,0,27,0,68,0,47.7,0.192,27,29.3,0,11.9,3,45,1017.4,0.5,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/3/26,46,41,260,0,5,13,13951422,178,31,5,0,46,13951791,8,1,2483353116,223,208,15,0,0,0,27,0,60,0,53.1,0.231,24,29.3,0,10.6,2.2,50,1017.9,3.5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/3/27,40,46,300,1,6,16.2,13951376,215,39,6,0,40,13951791,1,1,2999545840,254,239,15,0,0,0,32,0,111,0,71.4,0.224,41,29.7,0,1.4,4.7,69,1012.7,8,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/3/28,64,40,364,1,7,15.5,13951336,253,40,7,0,64,13951791,0,1,3529688008,315,301,14,0,0,0,49,0,195,0,100,0.23,41,31.4,8.5,0.9,4.4,83,1008.8,10,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/3/29,72,64,436,1,8,3.6,13951272,316,40,8,0,72,13951791,0,1,4408601952,382,367,15,0,0,0,46,0,285,0,147.1,0.201,39,31.7,51.5,0,2.8,96,1016.7,10,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/3/30,12,72,448,1,9,7.6,13951200,387,40,9,0,12,13951791,0,7,5399114400,394,378,16,0,0,0,0,0,41,0,145,0.192,48,35.1,0,1,1.9,72,1020.1,10,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/3/31,78,12,526,7,16,9.8,13951188,392,40,16,0,78,13951791,0,0,5468865696,465,449,16,0,0,0,46,0,99,0,155.1,0.209,43,37.6,0,0,1.9,79,1019.4,10,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,no
2020/4/1,67,78,593,0,16,11.4,13951110,470,40,16,0,67,13982622,0,0,6557021700,531,514,17,0,0,0,54,0,110,0,165,0.22,48,40.6,31,0,2.7,97,1003.9,10,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,no
2020/4/2,98,67,691,0,16,13.9,13951043,537,40,16,0,98,13982622,11,2,7491710091,628,610,18,0,0,0,69,0,400,0,219.6,0.193,53,44.7,0,11.9,6.2,45,1003.7,3.8,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,no
2020/4/3,92,98,783,2,18,12.8,13950945,622,51,18,0,92,13982622,0,5,8677487790,704,682,22,0,0,0,78,0,473,0,277.9,0.176,69,48.7,0,9.9,3.3,50,1016.8,4.8,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,no
2020/4/4,118,92,901,5,23,15.7,13950853,709,51,23,0,118,13982622,1,7,9891154777,815,793,22,0,0,0,4,0,61,0,252.3,0.168,76,53.7,0,11.5,3.9,62,1010.6,0.5,0,0,0,0,0,0,1,0,ìy,ãxì˙,no
2020/4/5,141,118,1042,7,30,10.2,13950735,819,52,30,0,141,13982622,0,0,11425651965,951,927,24,0,0,0,61,0,1,0,213.9,0.208,82,59.9,0,1.2,2.6,73,1008.4,6.3,0,0,0,0,0,0,0,1,ì˙,ãxì˙,no
2020/4/6,85,141,1127,0,30,12.1,13950594,960,52,30,0,85,13982622,0,1,13392570240,1034,1007,27,0,0,0,79,0,277,0,258.9,0.216,78,64.1,0,11.3,3,43,1011.1,4.5,0,1,0,0,0,0,0,0,åé,ïΩì˙,no
2020/4/7,87,85,1214,1,31,12.4,13950509,1044,52,31,0,87,13982622,0,4,14564331396,1112,1085,27,0,0,0,60,0,211,0,276.9,0.209,99,72.1,0,8.9,2.7,50,1010.6,6.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,yes
2020/4/8,156,87,1370,4,35,14.3,13950422,1127,52,35,0,156,13982622,0,1,15722125594,1251,1222,29,0,0,0,125,0,241,0,305.7,0.222,81,76.9,0,11.7,2.6,60,1009.5,2,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,yes
2020/4/9,183,156,1553,1,36,13.3,13950266,1282,52,36,0,183,13982622,0,4,17884241012,1428,1398,30,0,0,0,90,0,254,0,287.9,0.247,89,82,0.5,8.3,3.3,62,1012.6,5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,yes
2020/4/10,199,183,1752,4,40,11.2,13950083,1461,52,40,0,199,13982622,0,0,20381071263,1611,1580,31,0,0,0,143,0,219,0,260.9,0.308,69,82,0,9.9,3.8,49,1014.6,6.8,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,yes
2020/4/11,198,199,1950,0,40,11.4,13949884,1660,52,40,0,198,13982622,0,2,23156807440,1810,1776,34,0,0,0,159,0,344,0,323.4,0.317,84,83.1,0.5,9,3.2,48,1015.3,6.5,0,0,0,0,0,0,1,0,ìy,ãxì˙,yes
2020/4/12,174,198,2124,2,42,10.3,13949686,1856,52,42,0,174,13982622,0,0,25890617216,1974,1937,37,0,0,0,6,0,51,0,322.7,0.293,108,86.9,6.5,0.6,2.5,84,1011,10,0,0,0,0,0,0,0,1,ì˙,ãxì˙,yes
2020/4/13,100,174,2224,0,42,8,13949512,2030,52,42,0,100,13982622,0,5,28317509360,2064,2024,40,0,0,0,74,0,176,0,307.6,0.305,82,87.4,132,0,3.9,97,993,10,0,1,0,0,0,0,0,0,åé,ïΩì˙,yes
2020/4/14,159,100,2383,5,47,10.9,13949412,2125,52,47,0,159,13982622,0,6,29642500500,2219,2179,40,0,0,0,26,0,65,0,281.9,0.316,79,84.6,1.5,11.8,4.7,54,1002.2,2.5,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,yes
2020/4/15,127,159,2510,6,53,13.8,13949253,2278,52,53,0,127,13982622,0,3,31776398334,2340,2298,42,0,0,0,33,0,127,0,252.4,0.301,98,87,0,9.1,3.1,48,1008.9,7.3,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,yes
2020/4/16,151,127,2661,3,56,11.7,13949126,2402,52,56,0,151,13982622,0,7,33505800652,2487,2437,50,0,0,0,136,0,374,0,276.1,0.298,53,81.9,0.5,5.9,3.7,66,1014.4,10,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,yes
2020/4/17,206,151,2867,7,63,12.4,13948975,2546,52,63,0,206,13982622,164,5,35514090350,2679,2625,54,0,0,0,84,0,245,0,271.4,0.273,55,79.9,0.5,4.8,3,62,1021.3,9.5,0,0,0,0,0,1,0,0,ã‡,ïΩì˙,yes
2020/4/18,186,206,3053,5,68,12.9,13948769,2583,216,68,0,186,13982622,81,3,36029670327,2690,2635,55,0,0,0,75,0,284,0,250.9,0.247,88,80.4,89.5,0.7,3.1,96,1006.4,8,0,0,0,0,0,0,1,0,ìy,ãxì˙,yes
2020/4/19,109,186,3162,3,71,14.7,13948583,2685,297,71,0,109,13982622,303,6,37451945355,2711,2654,57,0,0,0,60,0,244,0,286.1,0.244,118,81.9,0,11.3,3.5,64,1009.5,4.3,0,0,0,0,0,0,0,1,ì˙,ãxì˙,yes
2020/4/20,101,109,3263,6,77,9.7,13948474,2485,600,77,0,101,13982622,25,4,34661957890,2507,2447,60,0,0,0,59,0,237,0,292.7,0.231,67,79.7,15,0,2.5,94,1008.8,9.8,0,1,0,0,0,0,0,0,åé,ïΩì˙,yes
2020/4/21,123,101,3386,4,81,14.2,13948373,2557,625,81,0,123,13982622,272,0,35665989761,2601,2540,61,0,0,0,25,0,142,0,303.6,0.222,64,77.6,0,1.6,1.7,82,1003.7,7,0,0,1,0,0,0,0,0,âŒ,ïΩì˙,yes
2020/4/22,123,123,3509,0,81,13.5,13948250,2408,897,81,0,123,13982622,40,6,33587386000,2461,2399,62,0,0,0,40,0,221,0,318,0.215,69,73.4,0,3.4,2.3,65,1001.3,10,0,0,0,1,0,0,0,0,êÖ,ïΩì˙,yes
2020/4/23,134,123,3643,6,87,11.9,13948127,2485,937,87,0,134,13982622,15,6,34661095595,2548,2485,63,0,0,0,75,0,417,0,315.4,0.189,50,73,1,10,3.1,56,1004.4,6.5,0,0,0,0,1,0,0,0,ñÿ,ïΩì˙,yes
