‘S‘’n•ûŒö‹¤’c‘ÌƒR[ƒh,“s“¹•{Œ§–¼,Žs‹æ’¬‘º–¼,”­¶_”NŒŽ“ú,‹~‹}ˆã—Ã_“Œ‹žƒ‹[ƒ‹“K—pŒ”,‹~‹}ˆã—Ã_“Œ‹žƒ‹[ƒ‹“K—pŒ”_7“úŠÔˆÚ“®•½‹Ï’l
130001,“Œ‹ž“s,,2020/8/13,76,71.1
130001,“Œ‹ž“s,,2020/8/14,55,71.6
130001,“Œ‹ž“s,,2020/8/15,81,74.4
130001,“Œ‹ž“s,,2020/8/16,101,79.6
130001,“Œ‹ž“s,,2020/8/17,82,79.6
130001,“Œ‹ž“s,,2020/8/18,67,75.9
130001,“Œ‹ž“s,,2020/8/19,56,74
130001,“Œ‹ž“s,,2020/8/20,51,70.4
130001,“Œ‹ž“s,,2020/8/21,43,68.7
130001,“Œ‹ž“s,,2020/8/22,48,64
130001,“Œ‹ž“s,,2020/8/23,48,56.4
130001,“Œ‹ž“s,,2020/8/24,49,51.7
130001,“Œ‹ž“s,,2020/8/25,48,49
130001,“Œ‹ž“s,,2020/8/26,36,46.1
130001,“Œ‹ž“s,,2020/8/27,44,45.1
130001,“Œ‹ž“s,,2020/8/28,51,46.3
130001,“Œ‹ž“s,,2020/8/29,41,45.3
130001,“Œ‹ž“s,,2020/8/30,61,47.1
130001,“Œ‹ž“s,,2020/8/31,53,47.7
130001,“Œ‹ž“s,,2020/9/1,45,47.3
130001,“Œ‹ž“s,,2020/9/2,39,47.7
130001,“Œ‹ž“s,,2020/9/3,36,46.6
130001,“Œ‹ž“s,,2020/9/4,34,44.1
130001,“Œ‹ž“s,,2020/9/5,49,45.3
130001,“Œ‹ž“s,,2020/9/6,49,43.6
130001,“Œ‹ž“s,,2020/9/7,38,41.4
130001,“Œ‹ž“s,,2020/9/8,20,37.9
130001,“Œ‹ž“s,,2020/9/9,41,38.1
130001,“Œ‹ž“s,,2020/9/10,37,38.3
130001,“Œ‹ž“s,,2020/9/11,46,40
130001,“Œ‹ž“s,,2020/9/12,33,37.7
130001,“Œ‹ž“s,,2020/9/13,47,37.4
130001,“Œ‹ž“s,,2020/9/14,37,37.3
130001,“Œ‹ž“s,,2020/9/15,47,41.1
130001,“Œ‹ž“s,,2020/9/16,19,38
130001,“Œ‹ž“s,,2020/9/17,32,37.3
130001,“Œ‹ž“s,,2020/9/18,40,36.4
130001,“Œ‹ž“s,,2020/9/19,43,37.9
130001,“Œ‹ž“s,,2020/9/20,42,37.1
130001,“Œ‹ž“s,,2020/9/21,40,37.6
130001,“Œ‹ž“s,,2020/9/22,50,38
130001,“Œ‹ž“s,,2020/9/23,30,39.6
130001,“Œ‹ž“s,,2020/9/24,41,40.9
130001,“Œ‹ž“s,,2020/9/25,29,39.3
130001,“Œ‹ž“s,,2020/9/26,29,37.3
130001,“Œ‹ž“s,,2020/9/27,42,37.3
130001,“Œ‹ž“s,,2020/9/28,36,36.7
130001,“Œ‹ž“s,,2020/9/29,34,34.4
130001,“Œ‹ž“s,,2020/9/30,29,34.3
130001,“Œ‹ž“s,,2020/10/1,36,33.6
130001,“Œ‹ž“s,,2020/10/2,37,34.7
130001,“Œ‹ž“s,,2020/10/3,29,34.7
130001,“Œ‹ž“s,,2020/10/4,44,35
130001,“Œ‹ž“s,,2020/10/5,41,35.7
130001,“Œ‹ž“s,,2020/10/6,33,35.6
130001,“Œ‹ž“s,,2020/10/7,31,35.9
130001,“Œ‹ž“s,,2020/10/8,31,35.1
130001,“Œ‹ž“s,,2020/10/9,32,34.4
130001,“Œ‹ž“s,,2020/10/10,35,35.3
130001,“Œ‹ž“s,,2020/10/11,47,35.7
130001,“Œ‹ž“s,,2020/10/12,43,36
130001,“Œ‹ž“s,,2020/10/13,38,36.7
130001,“Œ‹ž“s,,2020/10/14,25,35.9
130001,“Œ‹ž“s,,2020/10/15,27,35.3
130001,“Œ‹ž“s,,2020/10/16,35,35.7
130001,“Œ‹ž“s,,2020/10/17,30,35
130001,“Œ‹ž“s,,2020/10/18,44,34.6
130001,“Œ‹ž“s,,2020/10/19,35,33.4
130001,“Œ‹ž“s,,2020/10/20,34,32.9
130001,“Œ‹ž“s,,2020/10/21,39,34.9
130001,“Œ‹ž“s,,2020/10/22,41,36.9
130001,“Œ‹ž“s,,2020/10/23,36,37
130001,“Œ‹ž“s,,2020/10/24,27,36.6
130001,“Œ‹ž“s,,2020/10/25,52,37.7
130001,“Œ‹ž“s,,2020/10/26,38,38.1
130001,“Œ‹ž“s,,2020/10/27,28,37.3
130001,“Œ‹ž“s,,2020/10/28,33,36.4
130001,“Œ‹ž“s,,2020/10/29,32,35.1
130001,“Œ‹ž“s,,2020/10/30,23,33.3
130001,“Œ‹ž“s,,2020/10/31,33,34.1
130001,“Œ‹ž“s,,2020/11/1,40,32.4
130001,“Œ‹ž“s,,2020/11/2,34,31.9
130001,“Œ‹ž“s,,2020/11/3,49,34.9
130001,“Œ‹ž“s,,2020/11/4,33,34.9
130001,“Œ‹ž“s,,2020/11/5,43,36.4
130001,“Œ‹ž“s,,2020/11/6,31,37.6
130001,“Œ‹ž“s,,2020/11/7,51,40.1
130001,“Œ‹ž“s,,2020/11/8,46,41
130001,“Œ‹ž“s,,2020/11/9,46,42.7
130001,“Œ‹ž“s,,2020/11/10,44,42
130001,“Œ‹ž“s,,2020/11/11,49,44.3
130001,“Œ‹ž“s,,2020/11/12,30,42.4
130001,“Œ‹ž“s,,2020/11/13,43,44.1
130001,“Œ‹ž“s,,2020/11/14,53,44.4
130001,“Œ‹ž“s,,2020/11/15,56,45.9
130001,“Œ‹ž“s,,2020/11/16,46,45.9
130001,“Œ‹ž“s,,2020/11/17,54,47.3
130001,“Œ‹ž“s,,2020/11/18,25,43.9
130001,“Œ‹ž“s,,2020/11/19,54,47.3
130001,“Œ‹ž“s,,2020/11/20,49,48.1
130001,“Œ‹ž“s,,2020/11/21,47,47.3
130001,“Œ‹ž“s,,2020/11/22,74,49.9
130001,“Œ‹ž“s,,2020/11/23,52,50.7
130001,“Œ‹ž“s,,2020/11/24,47,49.7
130001,“Œ‹ž“s,,2020/11/25,48,53
130001,“Œ‹ž“s,,2020/11/26,45,51.7
130001,“Œ‹ž“s,,2020/11/27,30,49
130001,“Œ‹ž“s,,2020/11/28,36,47.4
130001,“Œ‹ž“s,,2020/11/29,38,42.3
130001,“Œ‹ž“s,,2020/11/30,48,41.7
130001,“Œ‹ž“s,,2020/12/1,34,39.9
130001,“Œ‹ž“s,,2020/12/2,43,39.1
130001,“Œ‹ž“s,,2020/12/3,47,39.4
130001,“Œ‹ž“s,,2020/12/4,42,41.1
130001,“Œ‹ž“s,,2020/12/5,42,42
130001,“Œ‹ž“s,,2020/12/6,43,42.7
130001,“Œ‹ž“s,,2020/12/7,41,41.7
130001,“Œ‹ž“s,,2020/12/8,43,43
130001,“Œ‹ž“s,,2020/12/9,47,43.6
130001,“Œ‹ž“s,,2020/12/10,47,43.6
130001,“Œ‹ž“s,,2020/12/11,45,44
130001,“Œ‹ž“s,,2020/12/12,51,45.3
130001,“Œ‹ž“s,,2020/12/13,47,45.9
130001,“Œ‹ž“s,,2020/12/14,39,45.6
130001,“Œ‹ž“s,,2020/12/15,46,46
130001,“Œ‹ž“s,,2020/12/16,51,46.6
130001,“Œ‹ž“s,,2020/12/17,52,47.3
130001,“Œ‹ž“s,,2020/12/18,63,49.9
130001,“Œ‹ž“s,,2020/12/19,40,48.3
130001,“Œ‹ž“s,,2020/12/20,60,50.1
130001,“Œ‹ž“s,,2020/12/21,66,54
130001,“Œ‹ž“s,,2020/12/22,56,55.4
130001,“Œ‹ž“s,,2020/12/23,66,57.6
130001,“Œ‹ž“s,,2020/12/24,56,58.1
130001,“Œ‹ž“s,,2020/12/25,58,57.4
130001,“Œ‹ž“s,,2020/12/26,54,59.4
130001,“Œ‹ž“s,,2020/12/27,55,58.7
130001,“Œ‹ž“s,,2020/12/28,81,60.9
130001,“Œ‹ž“s,,2020/12/29,80,64.3
130001,“Œ‹ž“s,,2020/12/30,64,64
130001,“Œ‹ž“s,,2020/12/31,73,66.4
130001,“Œ‹ž“s,,2021/1/1,68,67.9
130001,“Œ‹ž“s,,2021/1/2,79,71.4
130001,“Œ‹ž“s,,2021/1/3,74,74.1
130001,“Œ‹ž“s,,2021/1/4,87,75
130001,“Œ‹ž“s,,2021/1/5,112,79.6
130001,“Œ‹ž“s,,2021/1/6,105,85.4
130001,“Œ‹ž“s,,2021/1/7,98,89
130001,“Œ‹ž“s,,2021/1/8,73,89.7
130001,“Œ‹ž“s,,2021/1/9,121,95.7
130001,“Œ‹ž“s,,2021/1/10,141,105.3
130001,“Œ‹ž“s,,2021/1/11,122,110.3
130001,“Œ‹ž“s,,2021/1/12,160,117.1
130001,“Œ‹ž“s,,2021/1/13,141,122.3
130001,“Œ‹ž“s,,2021/1/14,127,126.4
130001,“Œ‹ž“s,,2021/1/15,110,131.7
130001,“Œ‹ž“s,,2021/1/16,120,131.6
130001,“Œ‹ž“s,,2021/1/17,108,126.9
130001,“Œ‹ž“s,,2021/1/18,136,128.9
130001,“Œ‹ž“s,,2021/1/19,115,122.4
130001,“Œ‹ž“s,,2021/1/20,112,118.3
130001,“Œ‹ž“s,,2021/1/21,116,116.7
130001,“Œ‹ž“s,,2021/1/22,127,119.1
130001,“Œ‹ž“s,,2021/1/23,108,117.4
130001,“Œ‹ž“s,,2021/1/24,141,122.1
130001,“Œ‹ž“s,,2021/1/25,121,120
130001,“Œ‹ž“s,,2021/1/26,126,121.6
130001,“Œ‹ž“s,,2021/1/27,116,122.1
130001,“Œ‹ž“s,,2021/1/28,89,118.3
130001,“Œ‹ž“s,,2021/1/29,97,114
130001,“Œ‹ž“s,,2021/1/30,104,113.4
130001,“Œ‹ž“s,,2021/1/31,106,108.4
130001,“Œ‹ž“s,,2021/2/1,138,110.9
130001,“Œ‹ž“s,,2021/2/2,110,108.6
130001,“Œ‹ž“s,,2021/2/3,111,107.9
130001,“Œ‹ž“s,,2021/2/4,92,108.3
130001,“Œ‹ž“s,,2021/2/5,107,109.7
130001,“Œ‹ž“s,,2021/2/6,87,107.3
130001,“Œ‹ž“s,,2021/2/7,105,107.1
130001,“Œ‹ž“s,,2021/2/8,116,104
130001,“Œ‹ž“s,,2021/2/9,90,101.1
130001,“Œ‹ž“s,,2021/2/10,86,97.6
130001,“Œ‹ž“s,,2021/2/11,111,100.3
130001,“Œ‹ž“s,,2021/2/12,115,101.4
130001,“Œ‹ž“s,,2021/2/13,110,104.7
130001,“Œ‹ž“s,,2021/2/14,98,103.7
130001,“Œ‹ž“s,,2021/2/15,102,101.7
130001,“Œ‹ž“s,,2021/2/16,116,105.4
130001,“Œ‹ž“s,,2021/2/17,95,106.7
130001,“Œ‹ž“s,,2021/2/18,99,105
130001,“Œ‹ž“s,,2021/2/19,86,100.9
130001,“Œ‹ž“s,,2021/2/20,78,96.3
130001,“Œ‹ž“s,,2021/2/21,86,94.6
130001,“Œ‹ž“s,,2021/2/22,106,95.1
130001,“Œ‹ž“s,,2021/2/23,97,92.4
130001,“Œ‹ž“s,,2021/2/24,77,89.9
130001,“Œ‹ž“s,,2021/2/25,58,84
130001,“Œ‹ž“s,,2021/2/26,61,80.4
130001,“Œ‹ž“s,,2021/2/27,90,82.1
130001,“Œ‹ž“s,,2021/2/28,63,78.9
130001,“Œ‹ž“s,,2021/3/1,76,74.6
130001,“Œ‹ž“s,,2021/3/2,70,70.7
130001,“Œ‹ž“s,,2021/3/3,70,69.7
130001,“Œ‹ž“s,,2021/3/4,68,71.1
130001,“Œ‹ž“s,,2021/3/5,73,72.9
130001,“Œ‹ž“s,,2021/3/6,55,67.9
130001,“Œ‹ž“s,,2021/3/7,51,66.1
130001,“Œ‹ž“s,,2021/3/8,57,63.4
130001,“Œ‹ž“s,,2021/3/9,58,61.7
130001,“Œ‹ž“s,,2021/3/10,69,61.6
130001,“Œ‹ž“s,,2021/3/11,60,60.4
130001,“Œ‹ž“s,,2021/3/12,59,58.4
130001,“Œ‹ž“s,,2021/3/13,61,59.3
130001,“Œ‹ž“s,,2021/3/14,63,61
130001,“Œ‹ž“s,,2021/3/15,66,62.3
130001,“Œ‹ž“s,,2021/3/16,58,62.3
130001,“Œ‹ž“s,,2021/3/17,57,60.6
130001,“Œ‹ž“s,,2021/3/18,52,59.4
130001,“Œ‹ž“s,,2021/3/19,61,59.7
130001,“Œ‹ž“s,,2021/3/20,76,61.9
130001,“Œ‹ž“s,,2021/3/21,65,62.1
130001,“Œ‹ž“s,,2021/3/22,85,64.9
130001,“Œ‹ž“s,,2021/3/23,67,66.1
130001,“Œ‹ž“s,,2021/3/24,58,66.3
130001,“Œ‹ž“s,,2021/3/25,51,66.1
130001,“Œ‹ž“s,,2021/3/26,61,66.1
130001,“Œ‹ž“s,,2021/3/27,83,67.1
130001,“Œ‹ž“s,,2021/3/28,87,70.3
130001,“Œ‹ž“s,,2021/3/29,78,69.3
130001,“Œ‹ž“s,,2021/3/30,79,71
130001,“Œ‹ž“s,,2021/3/31,47,69.4
130001,“Œ‹ž“s,,2021/4/1,48,69
130001,“Œ‹ž“s,,2021/4/2,43,66.4
130001,“Œ‹ž“s,,2021/4/3,63,63.6
130001,“Œ‹ž“s,,2021/4/4,73,61.6
130001,“Œ‹ž“s,,2021/4/5,37,55.7
130001,“Œ‹ž“s,,2021/4/6,35,49.4
130001,“Œ‹ž“s,,2021/4/7,51,50
130001,“Œ‹ž“s,,2021/4/8,41,49
130001,“Œ‹ž“s,,2021/4/9,41,48.7
130001,“Œ‹ž“s,,2021/4/10,36,44.9
130001,“Œ‹ž“s,,2021/4/11,59,42.9
130001,“Œ‹ž“s,,2021/4/12,61,46.3
130001,“Œ‹ž“s,,2021/4/13,54,49
130001,“Œ‹ž“s,,2021/4/14,50,48.9
130001,“Œ‹ž“s,,2021/4/15,39,48.6
130001,“Œ‹ž“s,,2021/4/16,48,49.6
130001,“Œ‹ž“s,,2021/4/17,42,50.4
130001,“Œ‹ž“s,,2021/4/18,54,49.7
130001,“Œ‹ž“s,,2021/4/19,55,48.9
130001,“Œ‹ž“s,,2021/4/20,47,47.9
130001,“Œ‹ž“s,,2021/4/21,73,51.1
130001,“Œ‹ž“s,,2021/4/22,46,52.1
130001,“Œ‹ž“s,,2021/4/23,53,52.9
130001,“Œ‹ž“s,,2021/4/24,71,57
130001,“Œ‹ž“s,,2021/4/25,64,58.4
130001,“Œ‹ž“s,,2021/4/26,50,57.7
130001,“Œ‹ž“s,,2021/4/27,50,58.1
130001,“Œ‹ž“s,,2021/4/28,56,55.7
130001,“Œ‹ž“s,,2021/4/29,55,57
130001,“Œ‹ž“s,,2021/4/30,66,58.9
130001,“Œ‹ž“s,,2021/5/1,61,57.4
130001,“Œ‹ž“s,,2021/5/2,54,56
130001,“Œ‹ž“s,,2021/5/3,60,57.4
130001,“Œ‹ž“s,,2021/5/4,62,59.1
130001,“Œ‹ž“s,,2021/5/5,57,59.3
130001,“Œ‹ž“s,,2021/5/6,55,59.3
130001,“Œ‹ž“s,,2021/5/7,54,57.6
130001,“Œ‹ž“s,,2021/5/8,59,57.3
130001,“Œ‹ž“s,,2021/5/9,71,59.7
130001,“Œ‹ž“s,,2021/5/10,74,61.7
130001,“Œ‹ž“s,,2021/5/11,61,61.6
130001,“Œ‹ž“s,,2021/5/12,53,61
130001,“Œ‹ž“s,,2021/5/13,45,59.6
130001,“Œ‹ž“s,,2021/5/14,42,57.9
130001,“Œ‹ž“s,,2021/5/15,56,57.4
130001,“Œ‹ž“s,,2021/5/16,59,55.7
130001,“Œ‹ž“s,,2021/5/17,70,55.1
130001,“Œ‹ž“s,,2021/5/18,63,55.4
130001,“Œ‹ž“s,,2021/5/19,49,54.9
130001,“Œ‹ž“s,,2021/5/20,44,54.7
130001,“Œ‹ž“s,,2021/5/21,45,55.1
130001,“Œ‹ž“s,,2021/5/22,60,55.7
130001,“Œ‹ž“s,,2021/5/23,65,56.6
130001,“Œ‹ž“s,,2021/5/24,40,52.3
130001,“Œ‹ž“s,,2021/5/25,56,51.3
130001,“Œ‹ž“s,,2021/5/26,41,50.1
130001,“Œ‹ž“s,,2021/5/27,40,49.6
130001,“Œ‹ž“s,,2021/5/28,37,48.4
130001,“Œ‹ž“s,,2021/5/29,49,46.9
130001,“Œ‹ž“s,,2021/5/30,37,42.9
130001,“Œ‹ž“s,,2021/5/31,61,45.9
130001,“Œ‹ž“s,,2021/6/1,41,43.7
130001,“Œ‹ž“s,,2021/6/2,36,43
130001,“Œ‹ž“s,,2021/6/3,36,42.4
130001,“Œ‹ž“s,,2021/6/4,39,42.7
130001,“Œ‹ž“s,,2021/6/5,56,43.7
130001,“Œ‹ž“s,,2021/6/6,50,45.6
130001,“Œ‹ž“s,,2021/6/7,47,43.6
130001,“Œ‹ž“s,,2021/6/8,63,46.7
130001,“Œ‹ž“s,,2021/6/9,44,47.9
130001,“Œ‹ž“s,,2021/6/10,38,48.1
130001,“Œ‹ž“s,,2021/6/11,29,46.7
130001,“Œ‹ž“s,,2021/6/12,39,44.3
130001,“Œ‹ž“s,,2021/6/13,50,44.3
130001,“Œ‹ž“s,,2021/6/14,40,43.3
130001,“Œ‹ž“s,,2021/6/15,34,39.1
130001,“Œ‹ž“s,,2021/6/16,43,39
130001,“Œ‹ž“s,,2021/6/17,31,38
130001,“Œ‹ž“s,,2021/6/18,40,39.6
130001,“Œ‹ž“s,,2021/6/19,40,39.7
130001,“Œ‹ž“s,,2021/6/20,39,38.1
130001,“Œ‹ž“s,,2021/6/21,53,40
130001,“Œ‹ž“s,,2021/6/22,35,40.1
130001,“Œ‹ž“s,,2021/6/23,35,39
130001,“Œ‹ž“s,,2021/6/24,33,39.3
130001,“Œ‹ž“s,,2021/6/25,49,40.6
130001,“Œ‹ž“s,,2021/6/26,47,41.6
130001,“Œ‹ž“s,,2021/6/27,62,44.9
130001,“Œ‹ž“s,,2021/6/28,43,43.4
130001,“Œ‹ž“s,,2021/6/29,26,42.1
130001,“Œ‹ž“s,,2021/6/30,31,41.6
130001,“Œ‹ž“s,,2021/7/1,34,41.7
